"line","speaker","dialogue"
2793,"PAM"," AND YOU'RE GONNA GIVE HER THAT IF SHE SAYS NO?"
2795,"PAM"," LIKE A BIG ""SCREW YOU AND YOUR BIG LINCOLN LOG-Y FINGERS""? [ BELCHES ]"
2803,"PAM"," [ Laughing ] JUST SHITFACED!"
2805,"PAM"," ABOUT 15 FREAKIN' BEERS, ALL THAT SCHUETZIE, AND -- HOLY SHIT! -- DID I HONK DOWN A BUNCH OF ABSINTHE?"
2807,"PAM"," I MUST HAVE, 'CAUSE I HALLUCINATED YOU HAD AN ENGAGEMENT RI--"
2811,"PAM"," WHAT THE --"
2820,"PAM"," UGH! [ THUDS ] [ VOMITING ]"
2880,"PAM"," HOUDINI DIED OF AIDS."
2882,"PAM"," WELL, YOU NAILED IT."
2884,"PAM"," W-WHEN HAVE I EVER BEEN BLABBY?"
2886,"PAM"," [ Singsong voice ] GUESS WHO HAS BREAST CANCER."
2889,"PAM"," THEY'RE NOT ALL EQUALLY APP-- OHH, AND HAVE I BLABBED ABOUT YOU AND CHERYL?"
2891,"PAM"," AND YOU THINK YOU CAN MAKE THAT UNHAPPEN IF YOU GIVE LANA A TINY FLAKE OF BROWN MICA? CYRIL, LOOK AT IT!"
2893,"PAM"," I KNOW, BUT YOU MAKE SHIT."
2895,"PAM"," SAVE THE SPEECH FOR THE FATHER YOU CONTINUALLY DISAPPOINT. I'M HEAD OF H.R., CYRIL. I KNOW YOUR TAKE-HOME."
2897,"PAM"," WELL, WE ALL DO."
2899,"PAM"," WOW."
2901,"PAM"," I WERE SAYING, WE ALL MAKE SHIT, SO WHAT WE SHOULD DO IS UNIONIZE!"
2903,"PAM"," THEN YOU CAN BUY LANA A BIG-BOY RING."
2905,"PAM"," THEN YOU CAN TAKE HER HOME TO MEET YOUR DICK DAD."
2907,"PAM"," WHAT?"
2935,"PAM"," ANOTHER EXAMPLE OF HOW UNDERPAID THE ISIS SUPPORT STAFF REALLY IS. AND I, FOR ONE, AM FED UP!"
2937,"PAM"," WHAT'S YOUR PROBLEM, NECK BONES?"
2944,"PAM"," YEAH, THAT WAS PRETTY SAD."
2949,"PAM"," NO, NO, NO, WAIT. HUNH-UNH. DON'T LISTEN TO THE ""MAKES HER OWN TAMPONS"" PERSON!"
2968,"PAM"," HOW? NOBODY KNOWS WHY WE'RE STRIKING."
2970,"PAM"," BUT IT LOOKS LIKE WE'RE PICKETING THE CLEANERS!"
2972,"PAM"," JESUS!"
2974,"PAM"," YOU WERE SAYING?"
2990,"PAM"," JESUS! OKAY, STRIKE'S OVER, EVERYBODY."
2998,"PAM"," CYRIL, THIS IS NOT THAT MOMENT."
3006,"PAM"," BUT YOU MAKE SHITLOADS MORE THAN WE DO."
3020,"PAM"," VITAL MISSION?"
3024,"PAM"," A DIAMOND? IN THIS ECONOMY?"
3026,"PAM"," OH, IRONY."
3057,"PAM"," COME ON, MS. ARCHER. YOU'VE BEEN IN THERE 10 HOURS. MEET US HALFWAY, AND KRIEGER WILL LET YOU OUT OF THERE."
3061,"PAM"," AND YOU'RE COOL WITH KRIEGER SHUCKIN' YOUR SIDE CORN?"
3063,"PAM"," YOU HEAR THAT, MS. ARCHER? WE'RE ALL ON BOARD FOR THE BIG WIN-WIN OUT HERE!"
3068,"PAM"," OH, EW."
3070,"PAM"," NAKED OR NOT..."
3072,"PAM"," ...YOU CAN'T STAY IN THERE FOREVER."
3075,"PAM"," NOW WE GOT HER!"
3101,"PAM"," WELL, NOW YOU'RE TRAPPED. [ TELEPHONE RINGING ] HAPPY?"
3103,"PAM"," AH! LAUNDRY. OH, WAIT, ARE WE OPEN? WHAT? SIR, YOU HAVE TO SLOW -- GEEZY PETES, GET A LOAD OF THIS GUY."
3119,"PAM"," AND MISS FIRE HAZARD IN THERE BRICKED UP THE ONLY STAIRWELL!"
3131,"PAM"," HOLY SHIT. YOU GEEKS ARE BADASS."
3147,"PAM"," HEY, YEAH."
3156,"PAM"," JESUS, MS. ARCHER, YOUR CHILD IS DYING."
3160,"PAM"," SOMETHING GOOD'S HAPPENING!"
3167,"PAM"," CYRIL, YOU CAN'T PUT A PRICE ON GOOD PUSSY."
3236,"PAM"," THAT'S WHY SHE CAN'T HAVE NICE THINGS."
3238,"PAM"," HMM?"
3240,"PAM"," WHAT'S THAT?"
3242,"PAM"," BUSY TRYING TO TURN THAT THING ON?"
3244,"PAM"," WELL, JUST KEEP AT IT. YOU'RE NOT MY SUPERVISOR."
3265,"PAM"," I, HOWEVER, DO NEED YOUR KEYCARD."
3267,"PAM"," I WILL! KEYCARD?"
3269,"PAM"," THEY ARE THE STUFF-THROWING-EST FAMILY."
3301,"PAM"," NOPE."
3303,"PAM"," NOPE. HOW YA HOLDIN' UP, MAMA BIRD?"
3450,"PAM"," THAT WOULD BE YOU."
3457,"PAM"," UNTIL WE WRESTLED IT AWAY FROM YOU."
3459,"PAM"," EASY, TOUGH GUY."
3464,"PAM"," SERIOUSLY."
3466,"PAM"," DANGER ZONE."
3470,"PAM"," WE CAN'T, MS. ARCHER. IT'S TOO LATE. [ SLAMMING, GLASS BREAKING ]"
3495,"PAM"," OH, NOW. YOU CAN ALWAYS..."
3497,"PAM"," WELL, I WAS GONNA SAY YOU CAN HAVE ANOTHER BABY, BUT...YOU'RE ALL DRIED UP IN THERE."
3539,"PAM"," OH, MY GOD. LOOKS LIKE JONESTOWN IN HERE."
3541,"PAM"," TOO DEAD INSIDE TO READ GOOD NEWS?"
3543,"PAM"," WELL, IT'S NOT THAT GOOD."
3545,"PAM"," AW, AND LOOK AT HAPPY LITTLE MAMA BIRD!"
3547,"PAM"," UH-HUH."
3549,"PAM"," UH-HUH."
3551,"PAM"," I KNOW. GOOD TO HAVE YOU BACK."
3553,"PAM"," AND?"
3555,"PAM"," OKAY."
3597,"PAM"," IT MEANS NO MORE BANGING CO-WORKERS."
3599,"PAM"," [ LAUGHS ]"
3601,"PAM"," OH, WAIT. GUESS WHAT."
3606,"PAM"," TWO AT THE SAME TIME?"
3608,"PAM"," SPLOOSH."
3616,"PAM"," WELL, DO IT BEFORE QUITTING TIME FRIDAY!"
3618,"PAM"," I DID THAT, BECAUSE SOMEBODY IN THIS BUILDING IS GONNA HAVE SEX WITH ME."
3713,"PAM"," YES. HAVE SEX WITH ME."
3715,"PAM"," PLEASE?"
3717,"PAM"," OH, COME ON! NOBODY WOULD EVER KNOW!"
3801,"PAM"," YOU HEARD THE LADY! TAKE A NUMBER! [ THUNDER CRASHING ]"
3806,"PAM"," WELL, THAT WAS A HUGE WASTE OF TIME."
3808,"PAM"," WELL..."
3810,"PAM"," WELL!"
3812,"PAM"," SO WAS THIS."
3814,"PAM"," YOU REALLY THINK THIS IS GONNA WORK?"
3816,"PAM"," YEAH...SPLOOSH. [ BEEP ] NOW SERVING NUMBER 2!"
3839,"PAM"," 5% DISCOUNT FOR CASH."
3841,"PAM"," OH, OH, OH! I CAN'T WET MY BEAK?!"
3893,"PAM"," 37? 37?"
3915,"PAM"," HEY, YEAH."
3928,"PAM"," HOLY SHITSNACKS! YOU MADE OVER 20 GRAND! MINUS MY 60 BUCKS."
3930,"PAM"," ARE YOU KIDDING?! 36 GUYS?! IT'S LIKE ""SCHINDLER'S LIST"" UP IN HERE!"
3932,"PAM"," AND I'M LIKE THAT LITTLE GANDHI DUDE, HELPING OUT WITH THE BOOKS, AND THE --"
3934,"PAM"," [ Sobbing ] NOTHING! I'M A DESIRABLE, FULL-BODIED WOMAN, BUT NOBODY WILL HAVE SEX WITH ME! AND I HAVE SO MUCH LOVE TO GIVE!"
3936,"PAM"," REALLY?!"
3938,"PAM"," I WON'T TELL ANYBODY!"
4011,"PAM"," Come on."
4048,"PAM"," Tongue back in."
4062,"PAM"," And Pam's sleeping in the cellar."
4064,"PAM"," Uh, she's making me mule back a bunch of this crap."
4105,"PAM","Man, I was."
4107,"PAM"," What? Jeez, I'm only human."
4109,"PAM"," [BURPS]"
4170,"PAM"," Well, a lot of that's muscle."
4172,"PAM"," Because you get strong arms growing up on a dairy farm."
4175,"PAM"," No, it--"
4177,"PAM"," It was Poovey Farms."
4179,"PAM"," You're shitting me. What was your breed?"
4181,"PAM"," We had Holsteins."
4183,"PAM"," Cousins. Wow. [CHUCKLING] Man, all this cow talk's making me thirsty for some milk."
4185,"PAM"," Well, let's get some. Don't wait up."
4260,"PAM"," Yeah, come on in. Just making a fresh batch of Green Russians."
4271,"PAM"," Yeah, it is."
4293,"PAM"," What the hell's all that, you reckon?"
4402,"PAM"," Yeah, they pack a wallop."
4404,"PAM"," Hey, what happens in Gstaad... [BURPS] ...stays in Gstaad."
4406,"PAM"," Now, who's ready for a shower? This gal."
4453,"PAM"," Oh, man. That's totally not irie."
4455,"PAM"," A, because I got deported, and B-- So she can actually sell ISIS? Like, doesn't the government own it?"
4480,"PAM"," Eh. You were on borrowed time anyway."
4482,"PAM"," Ackee and saltfish."
4484,"PAM"," Irie."
4502,"PAM"," [GRUMBLING]"
4512,"PAM"," What the hell?"
4524,"PAM"," Ewww"
4529,"PAM"," Holy shitsnacks."
4532,"PAM"," That is some high-priced MILF."
4534,"PAM"," We could give her a MILFectomy."
4658,"PAM"," Big ups."
4660,"PAM"," For sexual harassment complaints. So people can nonverbally indicate where stuff happened on their body."
4662,"PAM"," Not if there's ever a gang rape. [CHERYL NODS]"
4676,"PAM"," How the shit am I supposed to do that?"
4687,"PAM"," Yeah, Pillbo Baggins."
4695,"PAM"," Here--(offers Archer joint) [EXHALES] Racist."
4707,"PAM"," I'll tell you what's shitty. Somebody's breath around here. [SNIFFING] Whoa, here, take three or four of them. Probably won't kill you guys, either. Because somebody smells like they ate the ass end out of a northbound cow."
4725,"PAM"," Pamela, cool runnings, man."
4728,"PAM"," Blob Marley. [CHUCKLES]"
4836,"PAM"," Here? [PAM GRUNTS]"
4838,"PAM"," Racist."
4877,"PAM"," Yeah, so why do you pick on him?"
4881,"PAM"," Oh, she's in there, all right."
4936,"PAM"," Ouch. I mean that's gotta hurt, huh?"
4940,"PAM"," Don't engage her. But come on, Lana. You dated Mr. Archer forever."
4958,"PAM"," Hey, yeah, blue. Like for baby boys."
4961,"PAM"," No, like for let's have a baby shower for Trinette and the wee baby Seamus."
4963,"PAM"," Well, Archer's got that banging pad."
5037,"PAM"," I made that. It was gonna be a ham cozy, but then I was like, eh. So..."
5044,"PAM"," Yeah, right? I made mine."
5060,"PAM"," Lana."
5073,"PAM"," No, you guys should totally do that. The mochaccino ones are the cutest. Guess he'd be half-gay, too, though. So can you say best dancer ever?"
5091,"PAM"," Ray, you can do it. And I can watch. The door. Like a lookout. So nobody sees you doing the dirt."
5160,"PAM"," Cyril. Hey, you awake? Because this is about to get weird."
5184,"PAM"," I was trying to get him off, buttinsky."
5186,"PAM"," Oh, come on. Cyril came on to me."
5345,"PAM"," Recycling old batteries."
5347,"PAM"," Um..."
5349,"PAM"," Pretty much."
5375,"PAM"," What are you doing?"
5377,"PAM"," Why do you need seven?"
5380,"PAM"," Don't blame me, it's those new low-flow toilets. With the old ones you could flush a dachshund puppy. I mean, not that you would, but--"
5385,"PAM"," The what?"
5622,"PAM"," Why do I have to carry the toilets?"
5626,"PAM"," Okay, jeez, hostile work environment."
5629,"PAM"," What is it?"
5820,"PAM"," Would you knock it off, Union Carbide? And lay off the wee baby Seamus. He's got it tough enough as it is."
5826,"PAM"," Why not? Mr. Archer said Woodhouse might make a million bucks off of his."
5828,"PAM"," It's not-- Cyril, can you explain compound interest to her?"
5832,"PAM"," So is all kinds of shit. But look, half the people that work here are field agents--"
5834,"PAM"," Is basically just a great big asbestos lawsuit waiting to happen."
5836,"PAM"," And how long you think this one's gonna be around?"
5950,"PAM"," Three-large 50, three large a Benjamin, three-large--"
5958,"PAM"," Cyril? You dead?"
5960,"PAM"," Damn."
5962,"PAM"," No. Do you, though."
6020,"PAM"," Miss it."
6025,"PAM"," Really?"
6030,"PAM"," What a dick."
6032,"PAM"," Damn it."
6038,"PAM"," Check it out. Look."
6051,"PAM"," What is?"
6059,"PAM"," Come on, gals. Pammy Pam's buying."
6061,"PAM"," Really?"
6063,"PAM"," Dick."
6065,"PAM"," My record's three."
6083,"PAM"," Would you shut up? Fricking head's pounding, I'm sweating booze and my mouth's killing me."
6085,"PAM"," Personal best."
6087,"PAM"," Yeah. Oh, wait, she's dead."
6092,"PAM"," Probably."
6107,"PAM"," Seriously? How are we supposed to do that?"
6118,"PAM"," What, what?"
6120,"PAM"," [CLEARS THROAT] Inappropriate."
6158,"PAM"," Sorry."
6160,"PAM"," I was just checking to see if it's still doing it."
6166,"PAM"," That's not me!"
6168,"PAM"," Wha--?"
6177,"PAM"," (OS) Ah, jeez. Sorry, that one's on me."
6191,"PAM"," (OS) Sorry."
6194,"PAM"," Sesame Ginger Savings and Loan?"
6197,"PAM"," Every single one of these has to be wiped, reformatted, the whole shmeel."
6200,"PAM"," Three."
6211,"PAM"," Oh, please, he couldn't fix dinner."
6213,"PAM"," Not a real bank."
6235,"PAM"," Brilliant."
6237,"PAM"," Totally. Because how is the elevator supposed to work with a jillion pounds of freaking computers on it?"
6268,"PAM"," Really?"
6441,"PAM"," Oh, my God, she's amazing."
6443,"PAM"," Because you're an idiot."
6451,"PAM"," Yeah, jammed up under a log. Oh, and that wet clingy shirt she wears the whole time? Nippletown. [*** Rona off screen enters ***]"
6455,"PAM"," I-- you-- do you know who you are?"
6496,"PAM"," Ha, ha, you're kidding."
6498,"PAM"," Uh, it's just--"
6501,"PAM"," A young anything."
6503,"PAM"," Wild Bill Donovan."
6540,"PAM"," Um, I maybe kind of slightly took it."
6543,"PAM"," I-- Shut up. I just wanted to see what she's really like."
6545,"PAM"," Oh, come on. Haven't you ever snooped on somebody you thought was dreamy?"
6551,"PAM"," Not as gross as the hook-hand ones."
6584,"PAM"," So then it's settled. We're a go on Operation-- Ooh. What should we call it?"
6587,"PAM"," No, but it's like sour milk. You just gotta take a whiff. What's the story, neck bones?"
6589,"PAM"," Sploosh."
6593,"PAM"," But you were so busy sniffing his jock, you didn't hear him come in."
6595,"PAM"," What? Why'd you have a knife?"
6597,"PAM"," Holy shitsnacks."
6603,"PAM"," Hey, yeah."
6630,"PAM"," Oh, come on, I just wanna see if me and her have stuff in common, like--"
6632,"PAM"," I don't have cock porn just laying around. But sometimes, you know, you forget it's in the VCR."
6634,"PAM"," You rub one out, flip back to regular TV Superstars is on, and all of a sudden here's Joe Frazier's dumb ass drowning, you forget it's in there. Until Mom and Dad come to visit to tell you she's got Lou Gehrig's disease."
6637,"PAM"," Hey, we're using those."
6640,"PAM"," Shut up. We're on a mission too."
6644,"PAM"," No."
6648,"PAM"," No."
6738,"PAM"," Shut up, we're gonna go to prison."
6744,"PAM"," God."
6805,"PAM"," Careful, it's pretty delicate."
6807,"PAM"," Except for the barn. That's just graham crackers and icing."
6809,"PAM"," I hope so. I mean, it's probably not the best birthday present for a diabetic, but--"
6811,"PAM"," Are you walking in there right now?"
6813,"PAM"," I know, I was gonna come in this weekend, but I had to finish this so I could get it in the mail today."
6815,"PAM"," [GASPS]"
6817,"PAM"," [SOBBING]"
6819,"PAM"," It's just like when the farm flooded in real life. Only tiny and sweet."
6836,"PAM"," So... Is that why you're being such a bitch?"
6840,"PAM"," What? Nothing."
6842,"PAM"," I'm not, I swear. This is about-- [*** Cheryl runs in ***]"
6845,"PAM"," What?"
6847,"PAM"," I can't help it, it's like a disease."
6849,"PAM"," Do you not know what ""disease"" means? Oh, sorry, I forgot you might have-- [*** Cyril and Krieger walk in ***]"
6873,"PAM"," I'm okay, I'm okay. I'm good. Ahh, I'm good. [BREATHING DEEPLY]"
6875,"PAM"," Your mom's got breast cancer."
6930,"PAM"," Hey, how about we check each other?"
6932,"PAM"," Boop."
6938,"PAM"," That's a good attitude."
6969,"PAM"," Well, he does actually have cancer."
7009,"PAM"," Heh."
7021,"PAM"," Of the tits."
7083,"PAM"," Bear claws. Rowr."
7085,"PAM"," Rowr."
7092,"PAM"," [LAUGHING] Too soon?"
7098,"PAM"," Real numbnuts."
7106,"PAM"," [LAUGHING] [COUGHS] Still too soon. [*** Doctor enters waiting room ***]"
7123,"PAM"," Rowr."
7126,"PAM"," Looks like he's back to his old self."
7163,"PAM"," Holy shitsnacks."
7204,"PAM"," Not a new person."
7226,"PAM"," Are you here?"
7358,"PAM"," What you doing, Krieger?"
7371,"PAM"," ""Aha"" what?"
7378,"PAM"," What the heck was that all about?"
7380,"PAM"," No shit."
7527,"PAM"," Holy shitsnacks. Krieger's one of the boys from Brazil."
7529,"PAM"," No shit."
7567,"PAM"," Zing! Ahem. Wildly inappropriate."
7569,"PAM"," Okay, Clone Wars."
7576,"PAM"," I'm not complaining."
7590,"PAM"," So then he's all like, ""You gotta go before my roommate gets home."" And I'm like, ""Who cares?"" And he's like--"
7592,"PAM"," Huh. How did you know? And what's it mean anyway?"
7594,"PAM"," Oh."
